,index,Source airport,Source airport ID,Destination airport,Destination airport ID,Source iata,Source long,Source lat,Dest iata,Dest long,Dest lat
35337,65386,ZQW,393,FUE,1051,ZQW,7.40055990219116,49.2094001770019,FUE,-13.8638000488281,28.4526996612548
6359,7243,FRA,340,AUH,2179,FRA,8.5705556,50.0333333,AUH,54.6511001586914,24.4330005645751
12471,16179,CTS,2287,PEK,3364,CTS,141.692001342773,42.7751998901367,PEK,116.584999084472,40.0801010131835
19099,26536,CRL,304,TGD,1741,CRL,4.45382022858,50.4592018126999,TGD,19.2518997192382,42.3594017028808
28859,46654,NAS,1953,FPO,1948,NAS,-77.4662017821999,25.0389995575,FPO,-78.695602417,26.5587005615
21461,29225,TYS,3676,PIE,3617,TYS,-83.9940033,35.81100082,PIE,-82.68740082,27.91020012
2698,3148,LJG,4033,WUH,3376,LJG,100.246002197,26.6800003052,WUH,114.208000183105,30.783800125122
12829,16683,PEK,3364,CGO,3375,PEK,116.584999084472,40.0801010131835,CGO,113.841003418,34.5196990966999
18396,25788,SAH,3980,GXF,5954,SAH,44.2196998596191,15.4763002395629,GXF,48.7882995604999,15.9660997391
5387,6204,OAK,3453,OGG,3456,OAK,-122.221000671386,37.7212982177734,OGG,-156.429992675781,20.8985996246337
27537,43780,BKK,3885,MFM,3121,BKK,100.747001647949,13.6810998916625,MFM,113.592002868652,22.1495990753173
17630,24532,TTN,3447,TPA,3646,TTN,-74.8134994506836,40.2766990661621,TPA,-82.533203125,27.9755001068115
9657,11473,JUJ,2477,AEP,2442,JUJ,-65.0978012085,-24.3927993774,AEP,-58.4156,-34.5592
5195,6005,MIA,3576,BCN,1218,MIA,-80.2906036376953,25.7931995391845,BCN,2.0784599781036,41.297100067139
17622,24524,TTN,3447,CVG,3488,TTN,-74.8134994506836,40.2766990661621,CVG,-84.6678009033,39.0488014221
19226,26691,EIN,585,BDS,1506,EIN,5.37452983856,51.4500999451,BDS,17.947001,40.6576
15892,22093,AKX,2920,ALA,2908,AKX,57.2066993713378,50.2458000183105,ALA,77.0404968261718,43.3521003723144
29818,49879,CPH,609,LBA,517,CPH,12.656000137329,55.617900848389,LBA,-1.66057002544403,53.8658981323242
1459,1529,NUE,347,DUS,345,NUE,11.0780556,49.498699,DUS,6.76677989959716,51.2895011901855
18737,26162,BOH,494,FAO,1626,BOH,-1.84249997138977,50.7799987792968,FAO,-7.96590995789,37.0144004822
9116,10686,BTU,3262,KCH,3263,BTU,113.019996643,3.12385010719,KCH,110.34700012207,1.48469996452331
27277,43074,MYJ,2333,ICN,3930,MYJ,132.699996948242,33.8272018432617,ICN,126.450996398925,37.4691009521484
19244,26709,EIN,585,OPO,1636,EIN,5.37452983856,51.4500999451,OPO,-8.68138980865,41.2481002808
27099,42605,JHM,3796,KOA,3514,JHM,-156.67300415039,20.9629001617431,KOA,-156.046005249023,19.7388000488281
35077,64644,PSP,3839,YEG,49,PSP,-116.507003784179,33.8297004699707,YEG,-113.580001831,53.3097000122
35403,65630,JED,2072,HTY,7453,JED,39.156502,21.6796,HTY,36.2822227478,36.36277771
3648,4385,KSJ,1461,JSH,1480,KSJ,26.9099998473999,35.4213981628,JSH,26.1012992858886,35.2160987854003
5185,5994,MGM,4115,DFW,3670,MGM,-86.39399719,32.30059814,DFW,-97.0380020141601,32.896800994873
903,958,XIY,3379,LYI,6385,XIY,108.751998901367,34.4471015930175,LYI,118.412002563476,35.046100616455
6679,7658,TFS,1056,TXL,351,TFS,-16.5725002289,28.044500351,TXL,13.2876996994,52.5597000122
6387,7273,GRZ,1609,HER,1452,GRZ,15.4395999908447,46.9911003112793,HER,25.1802997589,35.3396987915
15811,21999,COO,245,DKR,1084,COO,2.38435006141662,6.3572301864624,DKR,-17.4902000427246,14.7397003173828
23995,34552,HIJ,2326,HND,2359,HIJ,132.919006348,34.4361000061,HND,139.779999,35.552299
9087,10650,TRV,3153,MLE,3156,TRV,76.9200973511,8.48211956024,MLE,73.5290985107421,4.19183015823364
33935,61603,WNZ,6392,DAD,3196,WNZ,120.851997375488,27.9122009277343,DAD,108.198997497558,16.0438995361328
15459,21361,MSP,3858,CID,4043,MSP,-93.2218017578,44.8819999694999,CID,-91.7108001708984,41.8847007751464
21357,29121,PIE,3617,MDT,3542,PIE,-82.68740082,27.91020012,MDT,-76.7633972168,40.1935005188
15455,21355,MSP,3858,BOS,3448,MSP,-93.2218017578,44.8819999694999,BOS,-71.00520325,42.36429977
12638,16424,HYN,6384,PEK,3364,HYN,121.429000854492,28.5622005462646,PEK,116.584999084472,40.0801010131835
10105,12277,TNG,1080,MAD,1229,TNG,-5.91689014435,35.7268981934,MAD,-3.56264,40.471926
34411,62923,OTP,1657,MXP,1524,OTP,26.085,44.5711111,MXP,8.72811,45.6306
28590,46184,MNL,2397,GUM,2246,MNL,121.019997,14.5086,GUM,144.796005249,13.4834003448
19447,26925,GSE,691,ALC,1212,GSE,11.8704004287719,57.7747001647949,ALC,-0.558156013488769,38.2821998596191
12627,16407,HRB,3400,CAN,3370,HRB,126.25,45.6234016418457,CAN,113.299003601074,23.3924007415771
4140,4911,CLT,3876,CHS,3806,CLT,-80.9430999755859,35.2140007019043,CHS,-80.04049683,32.89860153
29541,48788,CPT,797,UTN,865,CPT,18.6016998291,-33.9648017883,UTN,21.2602005004999,-28.39909935
32920,56962,LAX,3484,COS,3819,LAX,-118.4079971,33.94250107,COS,-104.70099639893,38.805801391602
30394,51317,DMM,2064,MAA,3144,DMM,49.7979011535644,26.4712009429931,MAA,80.1692962646484,12.990005493164
6276,7135,DRS,338,AYT,1688,DRS,13.7672004699707,51.1328010559082,AYT,30.800501,36.898701
25065,37256,NBO,4059,BKO,1044,NBO,36.9277992249,-1.31923997402,BKO,-7.94994020462036,12.5334997177124
